"General","Subyacente","Mercancias","Servicios","Nosubyacente","Agropecuarios","Energeticos","Periodo"
5.2,NA,NA,NA,NA,NA,NA,1970-01-01
4.81,NA,NA,NA,NA,NA,NA,1970-02-01
5.01,NA,NA,NA,NA,NA,NA,1970-03-01
4.87,NA,NA,NA,NA,NA,NA,1970-04-01
5.09,NA,NA,NA,NA,NA,NA,1970-05-01
5.35,NA,NA,NA,NA,NA,NA,1970-06-01
5.46,NA,NA,NA,NA,NA,NA,1970-07-01
5.84,NA,NA,NA,NA,NA,NA,1970-08-01
5.11,NA,NA,NA,NA,NA,NA,1970-09-01
4.05,NA,NA,NA,NA,NA,NA,1970-10-01
4.6,NA,NA,NA,NA,NA,NA,1970-11-01
4.69,NA,NA,NA,NA,NA,NA,1970-12-01
4.93,NA,NA,NA,NA,NA,NA,1971-01-01
5.38,NA,NA,NA,NA,NA,NA,1971-02-01
5.47,NA,NA,NA,NA,NA,NA,1971-03-01
5.87,NA,NA,NA,NA,NA,NA,1971-04-01
5.87,NA,NA,NA,NA,NA,NA,1971-05-01
5.71,NA,NA,NA,NA,NA,NA,1971-06-01
5.11,NA,NA,NA,NA,NA,NA,1971-07-01
5.58,NA,NA,NA,NA,NA,NA,1971-08-01
5.67,NA,NA,NA,NA,NA,NA,1971-09-01
5.74,NA,NA,NA,NA,NA,NA,1971-10-01
5.34,NA,NA,NA,NA,NA,NA,1971-11-01
4.96,NA,NA,NA,NA,NA,NA,1971-12-01
4.4,NA,NA,NA,NA,NA,NA,1972-01-01
4.29,NA,NA,NA,NA,NA,NA,1972-02-01
4.46,NA,NA,NA,NA,NA,NA,1972-03-01
4.58,NA,NA,NA,NA,NA,NA,1972-04-01
4.57,NA,NA,NA,NA,NA,NA,1972-05-01
4.87,NA,NA,NA,NA,NA,NA,1972-06-01
5.35,NA,NA,NA,NA,NA,NA,1972-07-01
5.08,NA,NA,NA,NA,NA,NA,1972-08-01
5.22,NA,NA,NA,NA,NA,NA,1972-09-01
5.19,NA,NA,NA,NA,NA,NA,1972-10-01
5.7,NA,NA,NA,NA,NA,NA,1972-11-01
5.56,NA,NA,NA,NA,NA,NA,1972-12-01
6.62,NA,NA,NA,NA,NA,NA,1973-01-01
7.16,NA,NA,NA,NA,NA,NA,1973-02-01
7.52,NA,NA,NA,NA,NA,NA,1973-03-01
8.54,NA,NA,NA,NA,NA,NA,1973-04-01
9.47,NA,NA,NA,NA,NA,NA,1973-05-01
9.56,NA,NA,NA,NA,NA,NA,1973-06-01
11.95,NA,NA,NA,NA,NA,NA,1973-07-01
13,NA,NA,NA,NA,NA,NA,1973-08-01
15.16,NA,NA,NA,NA,NA,NA,1973-09-01
16.56,NA,NA,NA,NA,NA,NA,1973-10-01
17.23,NA,NA,NA,NA,NA,NA,1973-11-01
21.37,NA,NA,NA,NA,NA,NA,1973-12-01
23.92,NA,NA,NA,NA,NA,NA,1974-01-01
25.68,NA,NA,NA,NA,NA,NA,1974-02-01
25.54,NA,NA,NA,NA,NA,NA,1974-03-01
