Entidad federativa,Grupo quinquenal de edad,Total-2005,Hombres-2005,Mujeres-2005,Total-2010,Hombres-2010,Mujeres-2010,Total-2020,Hombres-2020,Mujeres-2020
Estados Unidos Mexicanos,Total,  103 263 388,  50 249 955,  53 013 433,  112 336 538,  54 855 231,  57 481 307,  126 014 024,  61 473 390,  64 540 634
,0 a 4 años,  10 186 243,  5 175 913,  5 010 330,  10 528 322,  5 346 943,  5 181 379,  10 047 365,  5 077 482,  4 969 883
,5 a 9 años,  10 511 738,  5 339 127,  5 172 611,  11 047 537,  5 604 175,  5 443 362,  10 764 379,  5 453 091,  5 311 288
,10 a 14 años,  10 952 123,  5 545 910,  5 406 213,  10 939 937,  5 547 613,  5 392 324,  10 943 540,  5 554 260,  5 389 280
,15 a 19 años,  10 109 021,  4 995 906,  5 113 115,  11 026 112,  5 520 121,  5 505 991,  10 806 690,  5 462 150,  5 344 540
,20 a 24 años,  8 964 629,  4 253 440,  4 711 189,  9 892 271,  4 813 204,  5 079 067,  10 422 095,  5 165 884,  5 256 211
,25 a 29 años,  8 103 358,  3 805 724,  4 297 634,  8 788 177,  4 205 975,  4 582 202,  9 993 001,  4 861 404,  5 131 597
,30 a 34 años,  7 933 951,  3 745 974,  4 187 977,  8 470 798,  4 026 031,  4 444 767,  9 420 827,  4 527 726,  4 893 101
,35 a 39 años,  7 112 526,  3 371 372,  3 741 154,  8 292 987,  3 964 738,  4 328 249,  9 020 276,  4 331 530,  4 688 746
,40 a 44 años,  6 017 268,  2 871 549,  3 145 719,  7 009 226,  3 350 322,  3 658 904,  8 503 586,  4 062 304,  4 441 282
,45 a 49 años,  5 015 255,  2 388 149,  2 627 106,  5 928 730,  2 824 364,  3 104 366,  7 942 413,  3 812 344,  4 130 069
,50 a 54 años,  4 090 650,  1 959 720,  2 130 930,  5 064 291,  2 402 451,  2 661 840,  7 037 532,  3 332 163,  3 705 369
,55 a 59 años,  3 117 071,  1 497 981,  1 619 090,  3 895 365,  1 869 537,  2 025 828,  5 695 958,  2 692 976,  3 002 982
,60 a 64 años,  2 622 476,  1 243 788,  1 378 688,  3 116 466,  1 476 667,  1 639 799,  4 821 062,  2 257 862,  2 563 200
,65 a 69 años,  1 958 069,   922 592,  1 035 477,  2 317 265,  1 095 273,  1 221 992,  3 645 077,  1 706 850,  1 938 227
